tag,impl,B,H,Tq,Tkv,D,time_ms,peak_mem_MB,tflops,status
prefill,naive,1,32,32,32,64,0.08183808326721191,9.3759765625,0.10450450033238379,ok
prefill,ext,1,32,32,32,64,0.041082878112792966,9.25,0.20817548314213208,ok
prefill,online,1,32,32,32,64,0.013748480081558228,9.125,0.6220649809481108,ok
prefill,naive,1,32,64,64,64,0.09381248474121094,11.12890625,0.36466139975260625,ok
prefill,ext,1,32,64,64,64,0.05027840137481689,10.625,0.680407313370444,ok
prefill,online,1,32,64,64,64,0.02150399923324585,10.125,1.590857199581304,ok
prefill,naive,1,32,128,128,64,0.0940441608428955,16.140625,1.455052251767074,ok
prefill,ext,1,32,128,128,64,0.05879807949066162,14.125,2.327272747432728,ok
prefill,online,1,32,128,128,64,0.048798079490661624,12.125,2.804191669596067,ok
prefill,naive,1,32,256,256,64,0.09334783554077149,32.1875,5.8636246767706925,ok
prefill,ext,1,32,256,256,64,0.10670080184936523,24.125,5.12982716636685,ok
prefill,online,1,32,256,256,64,0.17461248397827148,16.125,3.1346938061319385,ok
prefill,naive,1,32,512,512,64,0.19404544830322265,88.375,11.283061299014447,ok
prefill,ext,1,32,512,512,64,0.23992319107055665,56.125,9.125531709671755,ok
prefill,online,1,32,512,512,64,0.5882060623168945,24.125,3.7222103413487972,ok
prefill,naive,1,32,1024,1024,64,1.5424691772460937,297.125,5.677719127999631,ok
prefill,ext,1,32,1024,1024,64,0.9730477142333984,168.125,9.000285005447685,ok
prefill,online,1,32,1024,1024,64,1.9991987609863282,40.125,4.380608333150067,ok
prefill,naive,1,32,2048,2048,64,6.154690551757812,1100.125,5.691728400219083,ok
prefill,ext,1,32,2048,2048,64,3.4876608276367187,584.125,10.044218385690135,ok
prefill,online,1,32,2048,2048,64,7.620772094726562,72.125,4.596755626931909,ok
prefill,naive,1,32,4096,4096,64,24.8280810546875,4248.125,5.643742974874208,ok
prefill,ext,1,32,4096,4096,64,13.785047607421875,2184.125,10.164876612871293,ok
prefill,online,1,32,4096,4096,64,29.7426123046875,136.125,4.711197072959064,ok
decode,naive,1,32,1,128,64,0.07592319965362548,10.17236328125,0.014080755353794555,ok
decode,ext,1,32,1,128,64,0.040734720230102536,10.15625,0.026244343743153507,ok
decode,online,1,32,1,128,64,0.008944640159606934,10.140625,0.11951917359713876,ok
decode,naive,1,32,1,256,64,0.07540736198425294,12.20361328125,0.028354154604247988,ok
decode,ext,1,32,1,256,64,0.04032512187957764,12.171875,0.05302183602531977,ok
decode,online,1,32,1,256,64,0.015892479419708252,12.140625,0.13453608738662445,ok
decode,naive,1,32,1,512,64,0.0754099178314209,16.26611328125,0.05670638720969716,ok
decode,ext,1,32,1,512,64,0.04052288055419922,16.203125,0.10552616056700521,ok
decode,online,1,32,1,512,64,0.02983936071395874,16.140625,0.14330816403850094,ok
decode,naive,1,32,1,1024,64,0.07499584197998047,24.3916015625,0.11403896235051281,ok
decode,ext,1,32,1,1024,64,0.040133118629455566,24.265625,0.21310200383288827,ok
decode,online,1,32,1,1024,64,0.057692160606384275,24.140625,0.1482428099434636,ok
decode,naive,1,32,1,2048,64,0.07539072036743164,40.642578125,0.22688330760915792,ok
decode,ext,1,32,1,2048,64,0.0400383996963501,40.390625,0.42721227945479756,ok
decode,online,1,32,1,2048,64,0.11307007789611817,40.140625,0.15127694539765793,ok
decode,naive,1,32,1,4096,64,0.07495232105255127,73.14453125,0.4564207154574241,ok
decode,ext,1,32,1,4096,64,0.04042751789093017,72.640625,0.8462006520483143,ok
decode,online,1,32,1,4096,64,0.22364160537719727,72.140625,0.152967029289122,ok
D_sweep,naive,1,32,128,128,32,0.07512063980102539,14.140625,0.9282442772678327,ok
D_sweep,ext,1,32,128,128,32,0.052323198318481444,12.125,1.3326842823247307,ok
D_sweep,online,1,32,128,128,32,0.03991231918334961,10.125,1.7470872509230106,ok
D_sweep,naive,1,32,128,128,64,0.07507775783538818,16.140625,1.8226325871375495,ok
D_sweep,ext,1,32,128,128,64,0.05486591815948486,14.125,2.494065033273195,ok
D_sweep,online,1,32,128,128,64,0.0455679988861084,12.125,3.002966365541147,ok
